rank	movie_id	title	genres	score	reason
1	602	Movie 0602	Adventure,Animation,Crime	1.9088	Shares liked genre signals: Adventure, Animation, Crime.
2	1002	Movie 1002	Documentary	1.9046	Shares liked genre signals: Documentary.
3	641	Movie 0641	Crime	1.8875	Shares liked genre signals: Crime.
4	1055	Movie 1055	Crime	1.8866	Shares liked genre signals: Crime.
5	943	Movie 0943	Comedy,Crime,Western	1.8832	Shares liked genre signals: Comedy, Crime, Western.
6	82	Movie 0082	Thriller,Western	1.8809	Shares liked genre signals: Thriller, Western.
7	6	Movie 0006	Adventure,Fantasy,Romance	1.8807	Shares liked genre signals: Adventure, Romance.
8	649	Movie 0649	Adventure,Sci-Fi,Thriller	1.8745	Shares liked genre signals: Adventure, Thriller.
9	797	Movie 0797	Crime	1.8744	Shares liked genre signals: Crime.
10	300	Movie 0300	Romance	1.8714	Shares liked genre signals: Romance.
