rank,user_id,movie_id,title,genres,score,reason
1,2,602,Movie 0602,"Adventure,Animation,Crime",1.908814,"Shares liked genre signals: Adventure, Animation, Crime."
2,2,1002,Movie 1002,Documentary,1.904563,Shares liked genre signals: Documentary.
3,2,641,Movie 0641,Crime,1.887474,Shares liked genre signals: Crime.
4,2,1055,Movie 1055,Crime,1.8866,Shares liked genre signals: Crime.
5,2,943,Movie 0943,"Comedy,Crime,Western",1.883239,"Shares liked genre signals: Comedy, Crime, Western."
6,2,82,Movie 0082,"Thriller,Western",1.880924,"Shares liked genre signals: Thriller, Western."
7,2,6,Movie 0006,"Adventure,Fantasy,Romance",1.880741,"Shares liked genre signals: Adventure, Romance."
8,2,649,Movie 0649,"Adventure,Sci-Fi,Thriller",1.874545,"Shares liked genre signals: Adventure, Thriller."
9,2,797,Movie 0797,Crime,1.874415,Shares liked genre signals: Crime.
10,2,300,Movie 0300,Romance,1.871415,Shares liked genre signals: Romance.
