rank,user_id,movie_id,title,genres,score,reason
1,1,19,Movie 0019,Comedy,2.142888,Shares liked genre signals: Comedy.
2,1,736,Movie 0736,"Comedy,Drama",2.094931,"Shares liked genre signals: Comedy, Drama."
3,1,463,Movie 0463,War,1.995385,Shares liked genre signals: War.
4,1,1136,Movie 1136,Documentary,1.990681,Shares liked genre signals: Documentary.
5,1,910,Movie 0910,"Sci-Fi,War",1.984818,"Shares liked genre signals: Sci-Fi, War."
6,1,1039,Movie 1039,"Action,Romance,Thriller",1.97116,"Shares liked genre signals: Action, Thriller."
7,1,497,Movie 0497,"Animation,Comedy,War",1.968014,"Shares liked genre signals: Animation, Comedy, War."
8,1,612,Movie 0612,"Documentary,Fantasy,Thriller",1.967292,"Shares liked genre signals: Documentary, Fantasy, Thriller."
9,1,189,Movie 0189,"Crime,Fantasy,Western",1.966568,"Shares liked genre signals: Crime, Fantasy, Western."
10,1,773,Movie 0773,"Adventure,Romance",1.956409,Shares liked genre signals: Adventure.
