alpha,precision,recall,ndcg,map,mrr
0.0,0.0026462395543175488,0.01288300835654596,0.007240612768299068,0.003752892367098495,0.008369810319671043
0.1,0.0023676880222841226,0.013161559888579387,0.007288803419269456,0.004200011790541038,0.007347349338992793
0.2,0.0022284122562674096,0.012000928505106779,0.007252241234541508,0.004452310946043537,0.008457134014237078
0.3,0.0020891364902506965,0.010840297121634168,0.006832339235737418,0.0042273695302943205,0.008414024848565238
0.4,0.0020891364902506965,0.010143918291550601,0.0061022021983159975,0.003473880267055755,0.007222443294866692
0.5,0.0022284122562674096,0.010492107706592386,0.005869547282668265,0.0031258750792176977,0.006315492770924526
0.6,0.0020891364902506965,0.009099350046425255,0.005220956624065096,0.00270017206820828,0.005855108988813725
0.7,0.0019498607242339834,0.00840297121634169,0.004986314634315404,0.0026408509086085683,0.005746783393022948
0.8,0.0020891364902506965,0.008867223769730733,0.005257326228112693,0.002755716570131612,0.006078945041340584
0.9,0.0020891364902506965,0.008867223769730733,0.005310353734442659,0.0027964307821550156,0.006201087677410798
1.0,0.0020891364902506965,0.008867223769730733,0.005320779707431402,0.0028137481393052423,0.006207167175133748
