rank	movie_id	title	genres	score	reason
1	19	Movie 0019	Comedy	2.1429	Shares liked genre signals: Comedy.
2	736	Movie 0736	Comedy,Drama	2.0949	Shares liked genre signals: Comedy, Drama.
3	463	Movie 0463	War	1.9954	Shares liked genre signals: War.
4	1136	Movie 1136	Documentary	1.9907	Shares liked genre signals: Documentary.
5	910	Movie 0910	Sci-Fi,War	1.9848	Shares liked genre signals: Sci-Fi, War.
6	1039	Movie 1039	Action,Romance,Thriller	1.9712	Shares liked genre signals: Action, Thriller.
7	497	Movie 0497	Animation,Comedy,War	1.9680	Shares liked genre signals: Animation, Comedy, War.
8	612	Movie 0612	Documentary,Fantasy,Thriller	1.9673	Shares liked genre signals: Documentary, Fantasy, Thriller.
9	189	Movie 0189	Crime,Fantasy,Western	1.9666	Shares liked genre signals: Crime, Fantasy, Western.
10	773	Movie 0773	Adventure,Romance	1.9564	Shares liked genre signals: Adventure.
